inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
XLYOFNOQVPJJNP-UHFFFAOYSA-N,InChI=1S/H2O/h1H2,KEGG:C00001,"{""O"": 1, ""H"": 2, ""e-"": 10}",[],O,0.0,[2],[0],KEGG:C00001
ZKHQWZAMYRWXGA-KQYNXXCUSA-N,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",KEGG:C00002,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 13, ""P"": 3, ""e-"": 260}","[12.6, 7.42, 4.93, 3.29, 1.55, 0.9]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,2.0,"[11, 12, 13, 14, 15, 16, 17]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00002
BAWFJGJZGIEFAR-NNYOXOHSSA-O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00003,"{""N"": 7, ""C"": 21, ""O"": 14, ""H"": 26, ""P"": 2, ""e-"": 344}","[11.76, 6.4, 5.13, 4.54, 3.25, 1.86]",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,1.0,"[25, 26, 27, 28, 29, 30, 31]","[-2, -1, 0, 1, 2, 3, 4]",KEGG:C00003
BOPGDPNILDQYTO-NNYOXOHSSA-N,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00004,"{""N"": 7, ""C"": 21, ""O"": 14, ""H"": 27, ""P"": 2, ""e-"": 346}","[12.73, 12.02, 4.93, 2.29, 1.87, 0.49]",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,2.0,"[25, 26, 27, 28, 29, 30, 31]","[-4, -3, -2, -1, 0, 1, 2]",KEGG:C00004
ACFIXJIJDZMPPO-NNYOXOHSSA-N,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00005,"{""N"": 7, ""C"": 21, ""O"": 17, ""H"": 26, ""P"": 3, ""e-"": 386}","[12.15, 5.78, 4.87, 3.26, 1.05, 0.74, 0.27]",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,1.0,"[25, 26, 27, 28, 29, 30, 31, 32]","[-5, -4, -3, -2, -1, 0, 1, 2]",KEGG:C00005
XJLXINKUBYWONI-NNYOXOHSSA-O,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00006,"{""N"": 7, ""C"": 21, ""O"": 17, ""H"": 25, ""P"": 3, ""e-"": 384}","[6.48, 5.74, 5.06, 4.51, 3.25, 1.88, 0.66]",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,0.0,"[25, 26, 27, 28, 29, 30, 31, 32]","[-3, -2, -1, 0, 1, 2, 3, 4]",KEGG:C00006
MYMOFIZGZYHOMD-UHFFFAOYSA-N,InChI=1S/O2/c1-2,KEGG:C00007,"{""O"": 2, ""e-"": 16}",[],O=O,0.0,[0],[0],KEGG:C00007
XTWYTFMLZFPYCI-KQYNXXCUSA-N,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",KEGG:C00008,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 10, ""P"": 2, ""e-"": 220}","[13.98, 12.46, 7.42, 4.93, 2.22, 1.77]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,3.0,"[10, 11, 12, 13, 14, 15, 16]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00008
NBIIXXVUZAFLBC-UHFFFAOYSA-N,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",KEGG:C00009,"{""O"": 4, ""P"": 1, ""H"": 1, ""e-"": 50}","[12.9, 6.95, 1.8]",OP([O-])([O-])=O,1.0,"[0, 1, 2, 3]","[-3, -2, -1, 0]",KEGG:C00009
RGJOEKWQDUBAIZ-IBOSZNHHSA-N,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",KEGG:C00010,"{""C"": 21, ""O"": 16, ""P"": 3, ""H"": 32, ""N"": 7, ""S"": 1, ""e-"": 400}","[6.25, 5.68, 4.88, 3.86, 3.14, 0.91, 0.82]",CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCS,0.0,"[32, 33, 34, 35, 36, 37, 38, 39]","[-4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00010
