KEGG reaction,dG0_prime,T,I,pH,pMg,weight
C00002 + C00031 = C00008 + C00092,-13.38,303.15,0.25,6.02,1.96,1
2 C00206 = C00360 + C00131,0.47,303.15,0.25,7,2.09,1
C00311 = C00158,-7.45,310.15,0.25,7.3,2.96,1
C00020 + C00001 = C00212 + C00009,-13.37,311.15,0.25,7,3,1
C00294 + C00009 = C00262 + C00620,10.63,311.15,0.25,7,3,1
C00354 + C00001 = C00085 + C00009,-13.3,310.15,0.25,6.99,3.05,1
C00020 + C00001 = C00212 + C00009,-12.99,298.15,0.25,8.86,4.5,1
C05662 + C00003 = C00322 + C00288 + C00004,1.98,298.15,0.25,7.5,14,1
C00445 + C00001 = C00234,-3.56,298.15,0.25,6.5,14,1
C00091 + C00164 = C00042 + C00332,11.41,298.15,0.25,8.1,14,1
C06019 = C00199 + C00067,25.51,303.15,0.25,7,14,1
C00025 + C00006 + C00001 = C00026 + C00005 + C00014,27.69,298.15,0.25,8.5,14,1
C00186 + C00003 = C00022 + C00004,14.95,298.15,0.25,9,14,1
2 C00051 + C00003 = C00127 + C00004,17.98,313.15,0.25,7,14,1
C00167 = C00617,-0.25,310.15,0.25,7.5,14,1
C00024 + C00009 = C00010 + C00227,10.2,301.15,0.25,8.1,14,1
C00473 + C00003 = C00376 + C00004,8.79,310.15,0.25,7,14,1
C00186 + C80057 = C00022 + C80058,3.3,303.15,0.25,9,14,1
C00013 + C00065 = C00009 + C01005,-15.91,310.15,0.25,6.7,14,1
2 C00051 + C00006 = C00127 + C00005,11.87,283.15,0.25,6.8,14,1
C00798 + C00009 = C00010 + C02405,4.95,303.15,0.25,6.85,14,1
C00002 + C00085 = C00008 + C00354,-12.62,303.15,0.25,6.8,14,1
C01101 = C00231,0,310.15,0.25,6,14,1
C00493 + C00006 = C02652 + C00005,8.37,303.15,0.25,7,14,1
C00794 + C00003 = C00095 + C00004,8.53,298.15,0.25,7,14,1
C02953 + C00006 = C00835 + C00005,7.8,298.15,0.25,7.65,14,1
C00002 + C00300 = C00008 + C02305,13.46,310.15,0.25,7,14,1
C00469 + C00003 = C00084 + C00004,22.2,293.15,0.25,7,14,1
C00354 = 2 C00111,18.27,273.15,0.25,7,14,1
2 C00008 = C00020 + C00002,3.03,303.15,0.25,7.5,14,1
C00116 + C00006 = C00577 + C00005,34.29,310.15,0.25,7,14,1
C00499 + C00001 = C00603 + C00086,3.93,303.15,0.25,7.5,14,1
C00379 + C00003 = C00310 + C00004,19.21,298.15,0.25,7,14,1
C00197 + C00003 = C03232 + C00004,22.82,298.15,0.25,8,14,1
C05512 + C00147 = C00559 + C00262,-0.88,313.15,0.25,6,14,1
C00092 = C00085,1.03,310.15,0.25,7.4,14,1
C00149 + C00024 + C00003 + C00001 = C00158 + C00010 + C00004,1.8,295.15,0.25,6.25,14,1
C01213 = C00091,-7.78,298.15,0.25,7.4,14,1
C05268 + C00003 = C05269 + C00004,20.55,298.15,0.25,7,14,1
C01144 + C00003 = C00332 + C00004,18.26,298.15,0.25,7,14,1
C00002 + C00197 = C00008 + C00236,20.02,298.15,0.25,6.9,14,1
C01103 + C00013 = C00295 + C00119,-5.62,303.15,0.25,8,14,1
C00507 = C00861,0.74,310.15,0.25,8.5,14,1
C00118 = C00111,-7.99,311.15,0.25,7,14,1
C00002 + C01563 = C00008 + C00169,7.46,283.15,0.25,9.4,14,1
C00002 + C00022 + C00009 = C00020 + C00074 + C00013,13.18,298.15,0.25,7.24,14,1
C00631 = C00197,-5.4,273.15,0.25,7,14,1
C00354 = 2 C00111,17.89,278.15,0.25,9,14,1
