cid,glucose avg,glucose std,gluconate avg,gluconate std,,
C00002,3.276,0.064,2.488,0.043,CC00002,C00002
C00008,0.574,0.007,0.455,0.02,CC00008,C00008
C00020,0.458,0.023,0.359,0.004,CC00020,C00020
C00114,0.164,0.049,0.071,0.029,CC00114,C00114
C00942,0.526,0.012,0.441,0.011,CC00942,C00942
C00035,0.317,0.0031,0.247,0.018,CC00035,C00035
C00003,1.33,0.077,1.495,0.041,CC00003,C00003
C00004,0.026,0.0012,0.032,0.0019,CC00004,C00004
C00006,0.011,0.0003,0.008,0.0003,CC00006,C00006
C00005,0.108,0.0087,0.127,0.023,CC00005,C00005
C00152,0.356,0.009,0.33,0.021,CC00152,C00152
C00062,2.47,0.52,2.23,0.58,CC00062,C00062
C00064,2.31,0.023,2.66,0.092,CC00064,C00064
C00082,0.079,0.003,0.071,0.006,CC00082,C00082
C00147,0.013,0.0046,0.02,0.0034,CC00147,C00147
C00079,0.105,0.008,0.086,0.012,CC00079,C00079
C00049,1.33,0.056,1.46,0.074,CC00049,C00049
C00025,29.1,0.046,31.6,0.95,CC00025,C00025
C00042,1.13,0.18,0.96,0.1,CC00042,C00042
C00026,0.605,0.088,0.543,0.21,CC00026,C00026
C00149,1.6,0.07,1.51,0.052,CC00149,C00149
C00122,0.521,0.083,0.611,0.099,CC00122,C00122
C00311,0.0078,0.002,0.0093,0.001,CC00311,C00311
C00158,0.668,0.061,0.592,0.052,CC00158,C00158
C00092,0.902,0.017,0.663,0.12,CC00092,C00092
C00085,0.319,0.028,0.309,0.019,CC00085,C00085
C00354,1.1,0.022,0.896,0.019,CC00354,C00354
C00111,1.25,0.082,1.29,0.16,CC00111,C00111
C00184,0.048,0.002,0.055,0.01,CC00184,C00184
C00197+C00631,0.756,0.036,0.784,0.026,CC00197+C00631,C197+631
C00074,0.335,0.075,0.372,0.066,CC00074,C00074
C00022,2.58,0.75,1.18,0.27,CC00022,C00022
C00575,0.0017,0.0004,0.0019,0.0005,CC00575,C00575
C05382,3.416,0.024,6.95,1.16,CC05382,C05382
C00279,0.025,0.0003,0.022,0.0015,CC00279,C00279
C00231,0.53,0.019,0.483,0.014,CC00231,C00231
C00236,0.048,0.002,0.055,0.01,CC00236,C00236
