reaction	dGr	dGrSD
"r_0003"	40.4381953417	17.2612494347
"r_0005"	-1367981226.47	99952.3089348
"r_0007"	-623.136179539	16.3376667825
"r_0008"	-13.6712086486	1.33150062172
"r_0012"	1466931291.99	2020.73203226
"r_0013"	162281168.524	239.209544321
"r_0014"	-754.51818649	100000.002207
"r_0015"	692.302053794	141421.357102
"r_0016"	-86.4038080748	26.2763085487
"r_0017"	15.5034421384	15.319939516
"r_0018"	0.715841169392	14.0952926261
"r_0019"	-44.6437936505	19.9321190332
"r_0020"	-44.6437936505	19.9321190332
"r_0021"	-69.4288373957	9.32857349312
"r_0022"	8081994947.42	98402.4572948
"r_0023"	-303.510638519	15.5489327844
"r_0024"	43.7706862211	16.2738395289
"r_0025"	383.569588143	100000.000108
"r_0026"	-1869889665.72	100033.164842
"r_0027"	-1869889665.72	100033.164842
"r_0028"	-1067991819.56	1471.09034445
"r_0029"	2.71251807391	4.22062071806
"r_0030"	-662640015.873	912.959480144
"r_0031"	-80.5043233957	22.8271124712
"r_0032"	-80.5043233957	22.8271124712
"r_0033"	662639942.982	913.105730087
"r_0034"	-1977378531.25	2723.69060771
"r_0035"	-16.7417956064	15.0977832611
"r_0036"	-369540179.496	509.230953324
"r_0037"	844192103.84	1162.94879995
"r_0038"	1354406525.59	1865.66170726
"r_0039"	-3861474047.63	5318.89988274
"r_0040"	-57.4090677249	16.3218072556
"r_0041"	-98.6828393862	22.9122931985
"r_0042"	-5.2902649468	9.96687699869
"r_0043"	871233003.982	1200.08852887
"r_0044"	1337373587.97	1842.34425388
"r_0045"	-69.4288373957	9.32857349312
"r_0047"	-77.9436366848	19.9967217659
"r_0048"	653676863.957	900.417631329
"r_0049"	1.39197525641	4.01281169137
"r_0050"	1.39197525641	4.01281169137
"r_0051"	151.97821293	141421.356288
"r_0052"	1.39197525641	4.01281169137
"r_0053"	1.39197525641	4.01281169137
"r_0054"	1.39197525642	4.01281169137
"r_0055"	-44.227370683	14.3660009448
"r_0056"	-44.227370683	14.3660009448
"r_0057"	94.3298224942	141421.356964
"r_0058"	-44.227370683	14.3660009448
"r_0059"	-44.227370683	14.3660009448
"r_0060"	-44.227370683	14.3660009448
"r_0061"	-653677147.542	900.625542333
"r_0062"	8081995257.57	140296.270114
"r_0063"	2.58831474427	4.21164057912
"r_0064"	44.4558051053	14.3660009448
"r_0065"	-1869890351.97	100033.165728
"r_0066"	5612966383.0	7731.43047131
"r_0067"	-76.1313522417	19.9569994189
"r_0068"	-13.3813906264	5.97682309938
"r_0069"	962470785.096	1325.7521736
"r_0070"	-16.067854437	14.6895008798
"r_0071"	377683643.701	521.122895481
"r_0072"	-5363432370.2	7387.72843075
"r_0073"	6.34645362232	7.04764631299
"r_0074"	-13.2272498364	3.07781071398
"r_0075"	2641270792.51	3638.1727781
"r_0076"	-2308807094.39	3180.23752634
"r_0077"	-1895916553.62	2611.47788052
"r_0078"	-77.001905373	22.7644177321
"r_0079"	-6656.09890276	100000.004469
"r_0080"	845.328657604	141421.359075
"r_0081"	10.9927968287	14.0952926261
