reaction	dGr	dGrSD
"r_0003"	15.5153	5.1961
"r_0005"	0	0
"r_0007"	0	0
"r_0008"	-9.6196	1.3317
"r_0012"	-60.9244	7.9604
"r_0013"	-193.0782	25.6815
"r_0014"	-4.9646	122474.4873
"r_0015"	-7.2287	70710.6784
"r_0016"	-22.0456	8.1187
"r_0017"	-10.6397	5.1265
"r_0018"	0.71654	4.2426
"r_0019"	-20.2938	5.9999
"r_0020"	-20.2938	5.9999
"r_0021"	-69.8781	3.1838
"r_0022"	-47.0468	100000.0003
"r_0023"	-299.631	6.9358
"r_0024"	18.8488	4.8989
"r_0025"	-9.3806	5.7671
"r_0026"	-32.2544	7.0281
"r_0027"	-32.2544	7.0281
"r_0028"	14.5743	2.5319
"r_0029"	2.7039	2.1948
"r_0030"	-39.8395	6.2921
"r_0031"	-16.4304	7.254
"r_0032"	-16.4304	7.254
"r_0033"	-18.2821	7.9384
"r_0034"	-10.8694	3.5843
"r_0035"	-41.784	4.545
"r_0036"	-39.1317	5.2732
"r_0037"	-41.84	6.6252
"r_0038"	-38.4454	5.7152
"r_0039"	-37.903	5.6483
"r_0040"	-82.5929	5.0722
"r_0041"	-73.755	7.3749
"r_0042"	-5.2902	3
"r_0043"	-119.1981	5.8111
"r_0044"	-19.8043	8.5727
"r_0045"	-69.8781	3.1838
"r_0047"	-13.5848	6.2194
"r_0048"	-57.1693	2.6698
"r_0049"	1.3961	1.7623
"r_0050"	1.3961	1.7623
"r_0051"	-1.6822	1.7623
"r_0052"	1.3961	1.7623
"r_0053"	1.3961	1.7623
"r_0054"	1.3961	1.7623
"r_0055"	-19.485	4.4032
"r_0056"	-19.485	4.4032
"r_0057"	19.175	4.4032
"r_0058"	-19.485	4.4032
"r_0059"	-19.485	4.4032
"r_0060"	-19.485	4.4032
"r_0061"	-248.2995	8.132
"r_0062"	65.4632	100000.0002
"r_0063"	2.5665	2.1775
"r_0064"	19.5548	4.4032
"r_0065"	-11.7707	6.0904
"r_0066"	5.3389	6.1097
"r_0067"	-11.7706	6.0904
"r_0068"	-13.5307	2.7259
"r_0069"	-23.5482	2.8831
"r_0070"	-16.1977	4.4214
"r_0071"	-131.7101	9.6395
"r_0072"	-129.0632	8.4321
"r_0073"	6.1207	2.1213
"r_0074"	-13.6259	1.4645
"r_0075"	-24.2191	4.6518
"r_0076"	-13.9707	4.938
"r_0077"	1.3957	1.7623
"r_0078"	-12.6382	7.0542
"r_0079"	-28.8296	8.6199
"r_0080"	-27.4375	8.6199
"r_0081"	11.398	4.2426
"r_0082"	-14.7588	2.0421
"r_0083"	-9.1479	3.5982
"r_0084"	-17.8582	3.4236
"r_0085"	-15.2407	3.0148
"r_0086"	-13.604	3.0148
"r_0087"	-10.9672	3.9271
"r_0088"	-13.8444	1.4645
"r_0089"	-6.0504	4.8801
"r_0090"	-6.1624	2.6932
"r_0091"	-14.6171	5.6137
"r_0092"	-10.0808	2.8585
"r_0093"	-40.4675	10.4277
"r_0094"	19.6344	7.2173
"r_0095"	-28.8296	8.6199
"r_0096"	2.1787	4.5023
"r_0097"	-63.0014	5.4598
"r_0098"	-63.0014	5.4598
"r_0099"	-69.7513	6.9462
"r_0100"	-33.8993	4.6734
"r_0101"	-43.2142	1.5516
"r_0102"	-7.6422	3.107
"r_0103"	-27.4375	8.6199
"r_0104"	-27.4375	8.6199
"r_0105"	5.3039	5.4663
"r_0106"	-21.2005	4.8754
"r_0107"	-28.8296	8.6199
"r_0108"	-27.4375	8.6199
"r_0109"	20.9874	17.7297
"r_0110"	-10.3753	4.1481
"r_0111"	-20.4292	4.415
"r_0112"	-31.39	6.6778
"r_0115"	-34.6697	2.6256
"r_0116"	-21.4021	200000.0001
"r_0117"	-31.5548	1.7464
"r_0118"	26.8437	1.2472
"r_0119"	26.8437	1.2472
"r_0120"	-31.5548	1.7464
"r_0121"	-31.5548	1.7464
"r_0122"	-31.5548	1.7464
"r_0123"	-5.7177	5.6099
"r_0124"	-5.7177	5.6099
"r_0125"	30.2388	4.3087
"r_0126"	-30.2388	4.3087
"r_0127"	-4.7493	0.58546
"r_0128"	-4.7493	0.58546
"r_0129"	-4.7493	0.58546
"r_0130"	30.8762	3.7564
"r_0131"	-31.8183	2.5777
"r_0132"	-0.0012613	0
"r_0133"	16.7371	4.2178
"r_0134"	-34.2452	9.2002
"r_0135"	-68.541	6.1523
"r_0136"	-68.541	6.1523
"r_0137"	-68.6816	6.1523
"r_0138"	-65.4261	6.543
"r_0139"	-68.541	6.1523
"r_0140"	-68.541	6.1523
"r_0141"	-1.213	2.7699
"r_0142"	-1.213	2.7699
"r_0143"	-1.213	2.7699
"r_0144"	-1.213	2.7699
"r_0145"	-1.213	5.1463
"r_0153"	-16.2653	6.5856
"r_0154"	-17.3822	1.9339
"r_0155"	-16.6979	6.2811
"r_0156"	-4.4682	2.5296
"r_0157"	-11.8921	4.7186
"r_0158"	-25.2943	6.7743
"r_0159"	34.7382	4.2426
"r_0160"	-15.8279	6.662
"r_0161"	2.6891	2.667
"r_0162"	6.7959	1.4319
"r_0163"	-2.2902	0.23123
"r_0164"	-2.2902	0.23123
"r_0165"	0.31311	1.9319
"r_0166"	0.31311	1.9319
"r_0167"	-6.2928	2.1152
"r_0168"	-6.2928	2.1152
"r_0169"	19.7959	6.2406
"r_0170"	8.4397	9.0292
"r_0171"	16.0703	4.9877
"r_0172"	-14.7165	8.0381
"r_0173"	-35.757	5.3691
"r_0174"	-7.9945	2.3842
"r_0176"	-2.4323	2.5624
"r_0177"	-18.0107	5.0887
"r_0178"	-2.4323	2.5624
"r_0179"	-2.4323	2.5624
"r_0180"	-2.4323	2.5624
"r_0181"	21.4303	4.2683
"r_0182"	-40.0298	5.1389
"r_0183"	-21.4303	4.2683
"r_0184"	-22.3857	4.4136
"r_0185"	-22.3857	4.4136
"r_0186"	-23.2889	4.4254
"r_0187"	-22.3857	4.4136
"r_0188"	-22.3857	4.4136
"r_0189"	-23.2889	4.4254
"r_0190"	-46.8025	11.4846
"r_0191"	-46.7672	8.6976
"r_0192"	-47.6704	8.6892
"r_0193"	-46.7672	8.6976
"r_0194"	-37.8815	8.5989
"r_0195"	-36.9783	8.6045
"r_0196"	-36.9783	8.6045
"r_0197"	-22.3857	4.4136
"r_0198"	-22.3857	4.4136
"r_0199"	-23.2889	4.4254
"r_0200"	-22.3857	4.4136
"r_0201"	-22.3857	4.4136
"r_0202"	-23.2889	4.4254
"r_0203"	-34.6551	8.8578
"r_0204"	-22.3857	4.4136
"r_0205"	-22.3857	4.4136
"r_0206"	-69.1432	9.5441
"r_0207"	95.787	70710.6786
