"NAME","PROTONS","CHARGE","MAGNESIUMS","SMARTS","FOCAL_ATOMS","REMARK","SKIP"
"primary -Cl3",0,0,0,"Cl[CH0](Cl)Cl",0,"chlorine (attached to a primary carbon with 2 other chlorine atoms attached)",
"primary -Cl2",0,0,0,"Cl[CH1]Cl",0,"chlorine (attached to a primary carbon with 1 other chlorine atom attached)",
"secondary -Cl2",0,0,0,"Cl[CH0]Cl",0,"chlorine (attached to a secondary carbon with 1 other chlorine atom attached)",
"primary -Cl",0,0,0,"Cl[CH2]",0,"chlorine (attached to a primary carbon with 0 other chlorine atoms attached)",
"secondary -Cl",0,0,0,"Cl[CH1]",0,"chlorine (attached to a secondary carbon with 0 other chlorine atoms attached)",
"tertiary -Cl",0,0,0,"Cl[CH0]",0,"chlorine (attached to a tertiary carbon with 0 other chlorine atoms attached)",
"ring -Cl",0,0,0,"Cl[c,n]",0,"chlorine (attached to an aromatic ring)",
"ring -Br",0,0,0,"Br[c,n]",0,"bromine (attached to an aromatic ring)",
"ring -I",0,0,0,"I[c,n]",0,"iodine (attached to an aromatic ring)",
"ring -F",0,0,0,"F[c,n]",0,"fluorine (attached to an aromatic ring)",
"-Br",0,0,0,"Br[C,N]",0,"bromine",
"-I",0,0,0,"I[C,N]",0,"iodine",
"-F",0,0,0,"F[C,N]",0,"fluorine",
"-S-O",1,0,0,"[S;H0;X2][OH]","All","sulfur hydroxyl",
"-S-O",0,-1,0,"[S;H0;X2][O-]","All","sulfur hydroxyl",
"ring -s-",0,0,0,"c[s;H0;X2;R]c","1","thioether (participating in an aromatic ring)",
"ring -S-",0,0,0,"C[S;H0;X2;R]C","1","thioether (participating in a nonaromatic ring)",
"-SO3",1,0,0,"S(=O)(=O)[OH]","All","sulfate",
"-SO3",0,-1,0,"S(=O)(=O)[O-]","All","sulfate",
"-SO2-",0,0,0,"[C,c,N,n]S(=O)(=O)[C,c,N,n]","1|2|3","sulfonyl",
"-SOO",0,-1,0,"[C,c,N,n]S(=O)[O-]","1|2|3","sulfonyl",
"-SOO",1,0,0,"[C,c,N,n]S(=O)[OH]","1|2|3","sulfonyl",
"-S<",0,0,0,"[S;H0;X3]","All","sulfonium",
"-S-S-",0,0,0,"C[S;H0;X2;R0][S;H0;X2;R0]C","1|2","dithionine",
"ring -S-S-",0,0,0,"C[S;H0;X2;R1][S;H0;X2;R1]C","1|2","dithionine",
"-C(=O)S-",0,0,0,"C(=O)[S;H0;X2][C,c,N,n]","0|1|2","thioester",
"-C(=O)S",1,0,0,"C(=O)[S;H1;X2;+0]","0|1|2","thiocarboxyl",
"-C(=O)S",0,-1,0,"C(=O)[S;H0;X1;-1]","0|1|2","thiocarboxyl",
"-S",1,0,0,"[C,c,N,n,S][S;H1;X2;+0]","1","thiol",
"-S",0,-1,0,"[C,c,N,n,S][S;H0;X1;-1]","1","thiol",
"-S-",0,0,0,"[C,c,N,n,S][S;H0;X2][C,c,N,n,S]","1","thioether",
"-CO-OPO3",0,-2,0,"[C;H0;X3](=O)OP(=O)([O-])[O-]","All","phospho-carboxylic acid",
"-CO-OPO3",1,-1,0,"[C;H0;X3](=O)OP(=O)([O-])O","All","phospho-carboxylic acid",
"-CO-OPO3",2,0,0,"[C;H0;X3](=O)OP(=O)([O])O","All","phospho-carboxylic acid",
"CO-OPO3",1,-2,0,"[C;H1;X3](=O)OP(=O)([O-])[O-]","All","formyl phosphate",
"CO-OPO3",2,-1,0,"[C;H1;X3](=O)OP(=O)([O-])O","All","formyl phosphate",
"CO-OPO3",3,0,0,"[C;H1;X3](=O)OP(=O)([O])O","All","formyl phosphate",
"*PC",0,0,0,"P",0,"phosphate chains - (C)harge sensitive",
"N-PO3",0,-2,0,"NP(=O)([O-])[O-]","1|2|3|4","terminal phosphate group attached to nitrogen",
"N-PO3",1,-1,0,"NP(=O)([O-])O","1|2|3|4","terminal phosphate group attached to nitrogen",
"N-PO3",2,0,0,"NP(=O)(O)O","1|2|3|4","terminal phosphate group attached to nitrogen",
"C-PO3",0,-2,0,"CP(=O)([O-])[O-]","1|2|3|4","terminal phosphate group attached to carbon",
"C-PO3",1,-1,0,"CP(=O)([O-])O","1|2|3|4","terminal phosphate group attached to carbon",
"C-PO3",2,0,0,"CP(=O)(O)O","1|2|3|4","terminal phosphate group attached to carbon",
"-NO2",0,0,0,"[C,c,N,n]N(=O)=O","1|2|3","Nitro",
"NC(=N)N",0,0,0,"NC(=N)N","1","guanidine",
"ring nc(=n)n",0,0,0,"[N,n][c;H0,+0](~[N,n])[N,n]","1","aromatic guanidine",
"two fused rings =n<",0,0,0,"[nR2]","All","participating in two fused aromatic rings",
"ring =n<",0,1,0,"[C,c][n;+1](~[C,c])[C,c]","1","double bond and one single bond participating in a ring",
"ring =n<",0,0,0,"[C,c][n;+0](~[C,c])[C,c]","1","double bond and one single bond participating in a ring",
"ring -n=",1,1,0,"c~[n;+1]~c","1","participating in a ring",
"ring -n=",0,0,0,"c~[n;+0]~c","1","participating in a ring",
"ring -n=",0,-1,0,"c~[n;-1]~c","1","participating in a ring",
"two fused rings -N<",1,1,0,"[N;H1;R2;+1]","All","participating in two fused rings",
